School ID,Institution me,Median Graduate Debt,Number of Undergraduates
1152,University of St Francis,25000,1757
1153,St John's College of Nursing,20000,124
1154,Saint Xavier University,25000,2891
1155,University of Illinois at Springfield,19498,2959
1158,Shimer College,31250,97
1159,Saint Augustine College,,1598
1160,University of Saint Mary of the Lake,,
1163,Spertus College,,
1165,Saint Anthony College of Nursing,25000,220
1167,Southern Illinois University-Carbondale,22500,13220
1168,Southern Illinois University-Edwardsville,22500,11179
1170,Telshe Yeshiva-Chicago,,67
1173,Trinity Christian College,25333,1191
1174,Trinity Intertiol University-Illinois,28000.5,899
1177,VanderCook College of Music,27000,104
1179,Resurrection University,25000,321
1180,Western Illinois University,24000,9873
1181,Wheaton College,23000,2415
1184,Anderson University,27999,1862
1186,Ball State University,25000,15985
1187,Bethel College-India,21883.5,1579
1188,Butler University,26600,3998
1189,Calumet College of Saint Joseph,24223.5,988
1190,Christian Theological Semiry,,
1192,Concordia Theological Semiry,,
1194,DePauw University,24500,2272
1197,Earlham College,27000,1016
1198,University of Evansville,26000,2373
1199,Franklin College,27000,969
1200,Goshen College,20857,778
1201,Grace College and Theological Semiry,22700,1286
1204,Hanover College,27000,1159
1206,Holy Cross College,25000,490
1208,Huntington University,27000,1030
1210,India University-Purdue University-Fort Wayne,26000,9795
1211,India University-Purdue University-Indiapolis,25388,21569
1212,Harrison College-Indiapolis,27167,3726
1213,University of Indiapolis,27450,4108
1214,India Institute of Technology,28743.5,5670
1215,University of Southern India,23275,8764
1216,India State University,24193,10173
1217,India University-Kokomo,19500,2708
1218,India University-South Bend,25724,5538
1219,India University-Bloomington,23628,31984
1220,India University-Northwest,29036.5,4764
1221,India University-Southeast,22915,5699
1222,India University-East,23388,3132
1223,Intertiol Business College-Fort Wayne,13625,406
1225,ITT Technical Institute-shville,25833.5,525
1226,ITT Technical Institute-Fort Wayne,25833.5,283
1227,ITT Technical Institute-Indiapolis,25833.5,4296
1231,Brown Mackie College-Merrillville,21599,619
1232,Brown Mackie College-Michigan City,21599,290
1235,Manchester University,27000,1188
1236,Marian University,30090,2054
1237,India Wesleyan University,24806.5,10625
1238,Martin University,42247,452
1240,Abaptist Mennonite Biblical Semiry,,
1242,Brown Mackie College-South Bend,21599,423
1243,Mid-America College of Funeral Service,17000,63
1245,University of Notre Dame,21000,8466
1246,Oakland City University,17000,587
1248,Purdue University-Calumet Campus,22781,7466
1249,Purdue University-North Central Campus,26000,3514
1252,Rose-Hulman Institute of Technology,27000,2165
1254,University of Saint Francis-Fort Wayne,26000,1878
1255,Saint Josephs College,27000,1096
1256,Saint Mary-of-the-Woods College,27000,630
1257,Saint Mary's College,27000,1470
1259,Saint Meinrad School of Theology,,
1261,Taylor University,24712.5,1873
1262,Trine University,26063,1431
1263,Valparaiso University,27000,3209
1265,Vincennes University,15599,8313
1266,Wabash College,23000,896
1267,Allen College,18250,398
1268,AIB College of Business,20500,1007
1269,Briar Cliff University,26334,999
1270,Bue Vista University,24218,2125
1274,Central College,27800,1303
1275,Clarke University,25650,995
1276,Coe College,27000,1355
1277,Cornell College,27000,1122
1280,Divine Word College,,89
1281,Dordt College,24000,1338
1282,Drake University,25000,3310
1283,University of Dubuque,26946,1687
1285,Emmaus Bible College,19000,187
1287,Faith Baptist Bible College and Theological Semiry,18456,220
1289,Graceland University-Lamoni,25000,1434
1290,Grand View University,25000,2079
1291,Grinnell College,10775,1661
1292,Kaplan University-Mason City Campus,30500,205
1293,Kaplan University-Cedar Rapids Campus,30500,483
1294,Hamilton Technical College,9500,177
1303,Iowa State University,25250,27112
1304,Iowa Wesleyan College,25000,578
1306,University of Iowa,22500,21314
1312,Loras College,27000,1521
1313,Luther College,27000,2388
1314,Maharishi University of Magement,34599,316
1316,Mercy College of Health Sciences,19000,826
1317,Morningside College,27000,1267
1318,Mount Mercy University,24199,1454
1319,Ashford University,32813,50403
1321,University of Northern Iowa,22148,10170
1322,Northwestern College,25250,1147
1325,Des Moines University-Osteopathic Medical Center,,
1327,Palmer College of Chiropractic-Davenport,10875,39
1329,Saint Ambrose University,26900,2716
1333,Simpson College,27000,1687
1339,Upper Iowa University,22500,4513
1340,Waldorf College,22201,1090
1341,Wartburg College,27000,1669
1342,Wartburg Theological Semiry,,
1345,William Penn University,25563,1558
1347,Baker University,25291,1759
1349,Benedictine College,26250,1750
1350,Bethany College,27000,604
1351,Bethel College-North Newton,26495,482
1356,Central Baptist Theological Semiry,,82
1357,Central Christian College of Kansas,21035,765
1364,Donnelly College,11750,419
1365,Emporia State University,21000,3724
1367,Fort Hays State University,20075,11064
1368,Barclay College,19045,233
1369,Friends University,25000,1568
1372,Haskell Indian tions University,,741
1381,University of Kansas,20114,18731
1382,Newman University,21625,1276
1384,Kansas State University,22500,19647
1385,Kansas Wesleyan University,23140,664
1390,Manhattan Christian College,19500,301
1391,McPherson College,24500,632
1392,MidAmerica zarene University,17433,1390
1396,Ottawa University-Ottawa,25000,533
1397,Ottawa University-Kansas City,25000,246
1398,Pittsburg State University,20250,6005
1400,University of Saint Mary,24250,782
1404,Southwestern College,25350,1332
1405,Sterling College,26250,640
1406,Tabor College,21250,706
1407,Washburn University,18500,5320
1409,Wichita State University,21750,11198
1411,Alice Lloyd College,17000,617
1412,Asbury University,26000,1392
1413,Asbury Theological Semiry,,
1416,Bellarmine University,25000,2508
1417,Berea College,5750,1587
1420,Brescia University,29347,869
1421,Campbellsville University,19500,2213
1423,Centre College,26063,1372
1424,Clear Creek Baptist Bible College,,136
1428,University of the Cumberlands,21505.5,1545
1429,Eastern Kentucky University,23179.5,13247
1431,Frontier Nursing University,,
1432,Georgetown College,27000,1034
1438,Daymar College-Paducah Main,22622,86
1442,tiol College-Lexington,27042.5,1275
1443,Kentucky Mountain Bible College,,73
1444,Kentucky State University,34942,2131
1445,Kentucky Wesleyan College,23650,652
1446,University of Kentucky,20500,21050
1447,Kentucky Christian University,27000,547
1448,Lexington Theological Semiry,,
1449,Lindsey Wilson College,19169,2127
1450,Sullivan College of Technology and Design,25500,368
1451,University of Louisville,21500,15023
1452,Louisville Presbyterian Theological Semiry,,
1455,Mid-Continent University,13835,2142
1456,Midway College,22845,1247
1457,Morehead State University,24093,7344
1458,Murray State University,21583,7956
1460,Northern Kentucky University,24458.5,11976
1462,Daymar College-Owensboro,23563,122
1465,University of Pikeville,19500,1313
1467,Brown Mackie College-Louisville,21599,1420
1469,Saint Catharine College,22750,605
1473,Brown Mackie College-Northern Kentucky,21599,443
1476,Spalding University,26980.5,1277
1478,Sullivan University,24625,3404
1479,Thomas More College,27000,1208
1480,Transylvania University,27000,1081
1482,Union College,,808
1483,Western Kentucky University,24431,15780
1493,Centery College of Louisia,25000,579
1501,Dillard University,32925,1183
1503,Grambling State University,38172.5,4100
1508,Louisia State University Health Sciences Center-New Orleans,16229,915
1509,Louisia State University-Alexandria,17750,1984
1510,Louisia State University and Agricultural & Mechanical College,19500,23990
1512,Louisia State University-Shreveport,20322,2796
1517,Louisia College,22707,1081
1519,Louisia Tech University,20984.5,7047
1520,Loyola University New Orleans,26070,2910
1521,McNeese State University,21750,6777
1522,University of New Orleans,17821,6854
1523,Nicholls State University,21888.5,5682
1524,University of Louisia at Monroe,21207,5863
1526,Notre Dame Semiry Graduate School of Theology,,
1527,Northwestern State University of Louisia,23500,7026
1528,Our Lady of Holy Cross College,30158.5,842
1529,Our Lady of the Lake College,23507,1483
1535,Saint Joseph Semiry College,,133
1542,Southeastern Louisia University,21465,11704
1543,Southern University and A & M College,32075,5666
1544,Southern University at New Orleans,27269,1782
1546,University of Louisia at Lafayette,20898,14261
1548,Tulane University of Louisia,27000,8290
1549,Xavier University of Louisia,27000,2459
1551,Kaplan University-Maine Campus,30500,977
1552,College of the Atlantic,19000,356
1553,Bates College,17058,1791
1555,Bowdoin College,19500,1789
1558,Colby College,19461,1820
1560,Husson University,26000,2290
